map_name,source,restricted_radius,opening_limit,recon_uses_mission_three,player1_objective1_x,player1_objective1_y,player1_objective2_x,player1_objective2_y,player2_objective1_x,player2_objective1_y,player2_objective2_x,player2_objective2_y,player1_unit_value_profile,player2_unit_value_profile,opening_production_limits,disadvantage_production_limits,advantage_production_limits,draw_production_limits
map_1,rom,2,3,FALSE,3,8,7,12,8,8,5,5,0,0,11;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0,14;1;0;2;2;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0,15;0;0;1;3;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0,7;5;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
map_2,rom,2,2,FALSE,9,9,11,7,3,8,5,6,3,3,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0,13;5;0;2;3;1;3;0;1;1;2;3;0;0;1;1;0;2;1;0;1;0;0;0,16;2;0;1;4;1;3;1;1;2;2;2;0;0;1;1;0;2;1;0;0;0;0;0,10;7;0;0;4;1;1;1;1;2;1;3;0;0;0;0;0;2;1;0;1;1;0;0
map_3,rom,3,4,FALSE,22,12,7,19,7,19,22,12,3,3,11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0;0;0;0;0,9;4;0;3;0;1;2;0;1;1;0;0;0;2;0;4;0;3;3;0;4;0;2;1,16;0;0;1;0;1;1;0;1;1;0;1;0;1;3;3;0;3;4;0;2;0;1;1,8;7;0;1;4;2;2;0;1;3;2;2;0;1;1;1;0;2;1;0;1;1;0;0
map_4,rom,3,3,FALSE,21,4,14,14,13,4,6,12,3,3,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;3;0,13;4;0;2;0;1;2;0;2;0;1;1;0;2;0;3;0;1;2;0;3;0;2;1,16;2;0;1;0;1;1;0;1;1;1;1;0;1;3;3;0;1;2;0;2;0;2;1,10;7;0;1;3;1;2;0;1;2;1;1;0;1;1;1;0;2;2;0;1;1;1;1
map_5,rom,2,2,TRUE,9,4,9,6,2,4,2,6,0,0,3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;3;0;2;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;1;1;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0,4;3;0;1;2;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
map_6,rom,3,3,TRUE,17,7,23,17,15,15,8,8,1,1,16;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;3;0;0;0;0;0,13;2;0;5;0;1;3;0;2;1;2;2;0;2;0;4;0;2;1;0;0;0;0;0,17;0;0;2;0;1;2;0;2;2;1;2;0;1;2;3;0;3;2;0;0;0;0;0,8;7;0;2;2;2;2;0;1;4;2;2;0;1;1;2;0;3;1;0;0;0;0;0
map_7,rom,3,2,FALSE,9,4,11,14,9,14,9,4,3,3,9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,14;0;0;4;0;1;3;0;2;2;0;2;0;0;2;2;0;2;2;0;2;0;1;1,18;0;0;1;2;1;3;0;1;2;1;2;0;0;1;2;0;2;2;0;1;0;0;1,9;7;0;0;4;1;1;0;1;3;1;3;0;0;1;1;0;2;0;0;2;1;0;0
map_8,rom,3,3,FALSE,17,5,15,14,5,5,7,13,2,2,20;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,20;0;0;4;0;2;5;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;1,21;0;0;2;3;3;4;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;1,13;9;0;2;4;1;2;2;0;0;2;2;0;0;0;0;0;0;0;0;1;0;0;1
map_9,generated:model,3,3,FALSE,18,19,17,18,18,18,7,5,3,3,12;0;3;4;0;2;1;0;3;0;1;1;0;0;0;0;0;1;1;0;3;0;1;0,22;1;3;3;5;2;2;0;3;0;2;1;0;2;1;5;0;2;2;0;4;1;2;0,20;2;1;2;5;2;2;0;3;0;2;1;0;2;3;3;0;2;2;0;3;1;2;0,15;4;1;2;5;2;1;0;2;2;2;1;0;1;2;2;0;2;1;0;2;1;1;0
map_10,generated:model,3,3,FALSE,27,27,16,12,17,14,17,13,3,3,12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;4;0;0;0;0;0,22;2;0;3;5;1;3;0;1;0;2;1;0;1;4;3;0;2;1;0;2;1;1;0,20;2;0;0;5;1;2;0;2;1;2;2;0;0;3;2;0;2;1;0;1;1;0;0,15;7;0;1;5;2;1;0;1;2;2;2;0;0;1;1;0;3;1;0;1;1;0;0
